_Antwort-ID,Resume-Code,Start,Datum und Zeit,Teilnahmestatus,,"1. 1. Wie schätzen Sie den Geschäftsverlauf Ihres Unternehmens für die kommenden 6 Monate ein?,Entwicklung Geschäftsverlauf",2. 2. Erwarten Sie für 2013 gegenüber dem Vorjahr einen höheren Umsatz?,3. 3. Wie entwickelt sich der Mitarbeiterbestand Ihrer Unternehmung in den kommenden 6 Monaten?,4. 4. Bezüglich des wirtschaftlichen Umfelds: Welches sind die für Ihr Unternehmen grössten Herausforderungen für die kommenden 6 Monate?,5. 5. Plant Ihr Unternehmen in den nächsten 24 Monaten grössere Investitionen?,6. Allgemeine Bemerkungen können Sie hier angeben:,,8. Branche:,9. Anzahl Mitarbeitende:,10. Umsatz (fakultativ),11. Standortstadt /-gmeinde
4656189,5144a70,22.01.13 15:06,22.01.13 15:07,teilgenommen und beendet,,5,nein,Keine Veränderung,,nein,,,Baunebengewerbe,9,,Effretikon
4656191,8b28c19,22.01.13 15:06,22.01.13 15:09,teilgenommen und beendet,,5,ja,Keine Veränderung,"Konkurrenzdruck, Treibstoffpreise, Mitarbeiter mit guter / genügender Qualifikation",nein,,,Garten- Landschaftsbau,50,,8307 Effretikon
4656196,1ed9062,22.01.13 15:06,22.01.13 15:09,teilgenommen und beendet,,3,nein,Reduktion,Investionsbereitschaft der Unternehmen; Eurokurs; Ausländisch Konkurrenz; Dumpingpreise,nein,,,"Einrichtungen, Medientechnik, Architektur",35,,Winterthur
4656217,80bcf18,22.01.13 15:08,22.01.13 15:09,"teilgenommen, aber noch nicht beendet",,3,ja,Reduktion,Konsumentenstimmung,ja,,,,,,
4656224,cfa3741,22.01.13 15:08,22.01.13 15:14,teilgenommen und beendet,,6,ja,Zunahme,1) Wachstum bewältigen.; 2) Geeignete und bezahlbare neue Geschäftsräume finden.,ja,Umfang mit Verwaltung Winterthur/Stadtwerk ist sehr umtriebig und Zeitaufwendig.,,Bau/Immobilien,10,,Winterthur
4656234,62e08d0,22.01.13 15:09,22.01.13 15:10,"teilgenommen, aber noch nicht beendet",,4,ja,Keine Veränderung,- Kostendruck der Unternehmungen,nein,,,,,,
4656243,508ad17,22.01.13 15:10,22.01.13 15:11,teilgenommen und beendet,,3,nein,Keine Veränderung,,nein,,,,,,
4656277,831862a,22.01.13 15:13,22.01.13 15:14,teilgenommen und beendet,,6,ja,Keine Veränderung,,nein,,,Immobilien,3,,Winterthur
4656279,b33f814,22.01.13 15:13,22.01.13 15:15,teilgenommen und beendet,,6,ja,Zunahme,Gute Mitarbeiter zu rekrutieren.,nein,,,Personal- & Stellenvermittlung,7,5 Mio,Winterthur
4656281,23b8492,22.01.13 15:13,22.01.13 15:18,teilgenommen und beendet,,3,ja,Keine Veränderung,"1. Der EUR-Kurs ist wohl auch in Zukunft unsre Hauptherausforderung. Nicht nur beim Export, sondern auch im Heimmarkt (Anbieter aus dem Euroraum).; 2. Brauchen wir doch mehr Mitarbeiter, dann ist die Verfügbarkeit qualifizierter Mitarbeiter knapp",nein,,,Engineering,55,,Winterthur
4656290,4ce0fd4,22.01.13 15:13,22.01.13 15:14,teilgenommen und beendet,,5,ja,Zunahme,,ja,,,IT,5,,Winterthur
4656291,c17dd2b,22.01.13 15:13,22.01.13 15:14,teilgenommen und beendet,,5,nein,Keine Veränderung,,ja,,,,,,
4656298,5b03363,22.01.13 15:14,22.01.13 15:34,teilgenommen und beendet,,5,ja,Zunahme,,nein,,,Architektur,4,,Elgg
4656308,53a639a,22.01.13 15:15,22.01.13 15:16,teilgenommen und beendet,,5,ja,Zunahme,Für die kommenden 6 Monate keine ausserordentlichen Herausforderungen.,nein,keine,,Bauingenieurwesen,25,-,Winterthur
4656314,c72586d,22.01.13 15:15,22.01.13 15:17,teilgenommen und beendet,,5,ja,Zunahme,"Unsicherheiten Grichenland, Spanien, Frankreich, Italien",ja,,,Engineering für Drucktechnik,120 in der CH,1200 Mio US$ weltweit,Winterthur
4656323,5c6171d,22.01.13 15:16,22.01.13 15:22,teilgenommen und beendet,,4,ja,Keine Veränderung,Die positive Grundstimmung bei zu behalten.,nein,,,Detailhandel,3000,1.36 Mia.,Winterthur
4656326,075f61f,22.01.13 15:16,22.01.13 15:17,teilgenommen und beendet,,,ja,Keine Veränderung,Einkaufstourismus,nein,,,Detailhandel,6000,,
4656327,acc9608,22.01.13 15:16,22.01.13 15:17,teilgenommen und beendet,,,ja,Keine Veränderung,,nein,,,,,,
4656341,4814cf4,22.01.13 15:17,22.01.13 15:30,teilgenommen und beendet,,4,nein,Keine Veränderung,"Kunden behalten, Kunden gewinnen. Das heisst sich erklären können wenn rechts und links die Preise purzeln warum wir da nicht mitmachen dürfen.; Den Wert unserer Produkte und Dienstleistungen erklären.",ja,"Es wird immer schwieriger eine zeitgemässe Qualität anbieten zu können wenn die Preise immer mehr untergraben werden. Wir denken, dass das Arbeiten von Ausländern in der Schweiz wirklich eingeschränkt werden muss!",,Agentur / Werbetechnik,12,"1,5 Mio.",8408 Winterthur
4656360,b4dfd5b,22.01.13 15:18,22.01.13 15:21,teilgenommen und beendet,,7,nein,Keine Veränderung,Marketingplanung für unser 10 Jähriges Betriebsjubiläum,ja,,,Englisch für Kinder,10,,Winterthur und Rickenbach Sulz
4656363,5794b5b,22.01.13 15:18,22.01.13 15:19,teilgenommen und beendet,,4,ja,Keine Veränderung,Entwicklung Wohnungsmarkt und Arbeitslostenquote.,nein,,,Versicherungen,40,,Winterthur
4656366,e68d16d,22.01.13 15:18,22.01.13 15:20,teilgenommen und beendet,,4,ja,Keine Veränderung,Digitalisierung im Medienbereich,nein,,,Medien,80,8000000,Winterthur
4656376,88634bf,22.01.13 15:19,22.01.13 15:21,teilgenommen und beendet,,6,ja,Zunahme,Verkauf & Marketing - speziell Export - Zusammenarbeit mit Instituten resp. OSEC,ja,,,faserverstärkte Kundststoffe,,,Winterthur
4656378,ae8973d,22.01.13 15:19,22.01.13 15:20,teilgenommen und beendet,,4,nein,Reduktion,,nein,,,,,,
4656384,30fb5d6,22.01.13 15:20,22.01.13 15:23,teilgenommen und beendet,,5,nein,Keine Veränderung,- Mitbewerber aus anderen Reginen (Zürich); - Fachpersonal; - Termindruck,nein,,,Elektroinstallationen,Total mit Filialen 168,21 Mio,Winterthur
4656402,cc58698,22.01.13 15:21,22.01.13 15:22,"teilgenommen, aber noch nicht beendet",,5,ja,Keine Veränderung,,,,,,,,
4656428,c7a6b9b,22.01.13 15:24,22.01.13 15:26,teilgenommen und beendet,,4,ja,Keine Veränderung,- Allgemeine Wirtschaftsstimmung; - Vergabepraxis im öffentlichen Sektor,ja,,,Kommunikation / Werbung / Gestaltung,2,,Winterthur
4656432,dad3344,22.01.13 15:24,22.01.13 15:25,teilgenommen und beendet,,4,nein,Keine Veränderung,,nein,,,Garagengewerbe,20,11 Mio,Winterthur
4656437,719b6c3,22.01.13 15:24,22.01.13 15:26,teilgenommen und beendet,,7,nein,Keine Veränderung,,nein,,,Bodenbeläge,15,,Winterthur
4656438,c221707,22.01.13 15:24,22.01.13 15:26,teilgenommen und beendet,,5,nein,Keine Veränderung,,nein,,,Druckerei,3,600000.--,Winterthur
4656451,5e7ff21,22.01.13 15:25,22.01.13 15:27,teilgenommen und beendet,,5,nein,Keine Veränderung,keine,nein,,,Storen und Rollladen,,,
4656464,ee0a28d,22.01.13 15:26,22.01.13 15:29,teilgenommen und beendet,,5,nein,Reduktion,Gute Mitarbeiter zu finden!,nein,,,Malergeschäft,13,,Winterthur
4656473,78f65a7,22.01.13 15:26,22.01.13 15:28,teilgenommen und beendet,,4,nein,Keine Veränderung,"Starke Konkurrenz, kleine Margen",nein,,,Malergeschäft,19,,Winterthur
4656481,962c17b,22.01.13 15:27,22.01.13 15:29,teilgenommen und beendet,,4,nein,Keine Veränderung,Halten oder verbessern der Ertragszahlen bei anhaltend hohem Margendruck,nein,,,Bank,30,,Winterthur
4656500,0dd7e5b,22.01.13 15:29,22.01.13 15:31,teilgenommen und beendet,,3,nein,Reduktion,,nein,,,Augenoptik,5,,Winterthur
4656515,f3ba15f,22.01.13 15:30,22.01.13 15:32,teilgenommen und beendet,,6,ja,Zunahme,Genügend Ressourcen für Aufträge,ja,,,,,,
4656543,df39eee,22.01.13 15:32,22.01.13 15:34,teilgenommen und beendet,,4,ja,Keine Veränderung,Sparmassnahmen bei Kunden; Kostendruck,nein,,,Rechtsdienstleistungen,16,,Winterthur
4656545,4b430cb,22.01.13 15:33,22.01.13 15:38,teilgenommen und beendet,,4,nein,Keine Veränderung,"- Produktion: Hohe Flexibilität bei tiefen Preisen und immer kürzer werdenden Terminen.; - Ausbildung: Bereitschaft in die Ausbildung von Lernenden zu investieren - trotz schwierigem wirtschaftlichem Umfeld. Demografie / Kampf um ""gute"" Schüler.",ja,,,Ausbildung / Produktion,55 Mitarbeitende / 400 Lernende,16000000,Winterthur
4656554,237bedc,22.01.13 15:34,22.01.13 15:37,teilgenommen und beendet,,5,nein,Keine Veränderung,Wetter und Preisentwiklung,nein,,,Baugeschäft Hoch + Tiefbau,35,,Pfungen
4656593,ff02d55,22.01.13 15:37,22.01.13 15:38,teilgenommen und beendet,,3,nein,Keine Veränderung,,nein,,,,,,
4656651,36c53f5,22.01.13 15:41,22.01.13 15:45,teilgenommen und beendet,,4,nein,Keine Veränderung,- Kunden mit Exportaktivitäten bleiben schwach wegen des starken Frankens; ; - Industriekunden wandern ins Ausland ab. Damit verlieren wir Kunden.,nein,,,Industrie (Maschinenundustrie),52,15'000 TCHF,Effretikon
4656675,20b3923,22.01.13 15:43,22.01.13 15:49,teilgenommen und beendet,,4,ja,Keine Veränderung,"Der Einkauf ist im Umbruch!; Es liegt immer weniger drin, Produkte die nicht im Land hergestellt werden über einen Importeuren zu kaufen.; ; Ausländische Kunden wollen anders behandelt werden als der Schweizer, dieser Trend ist anhaltend.; ; Eine weitere Herausfoderung ist, dass mehr Eigentumswohnungen gebaut werden als Häuser, der Hausbesitzer ist eher mein Kunde als der Wohnungsbesetzer.; ; Energiepreis, die Energie ist nach wie vor zu billig, völlig egal welche.",nein,"Jeder Kämpft, Kosten so tief wie möglich halten, akquirieren, akquirieren, akquirieren",,Erneuerbare Energie / Ofen und Cheminéebau,'1-2,380 000 -,Winterberg / Lindau
4656759,be338a3,22.01.13 15:49,22.01.13 15:51,teilgenommen und beendet,,6,nein,Keine Veränderung,,nein,,,,,,
4656791,93ca205,22.01.13 15:52,22.01.13 15:55,teilgenommen und beendet,,4,ja,Zunahme,"eigene Struktur verändern, Rationalisieren, staatliche Leitplanken ausloten",nein,,,Gesundheit,165,11 Mio,"Elsau, Elgg"
4656804,d18dbf0,22.01.13 15:53,22.01.13 15:55,teilgenommen und beendet,,4,nein,Keine Veränderung,Umsatzziele zu erreichen und trotz Preiskampf gute Zahlen zu bringen.,ja,,,Sicherheît,150,,Illnau
4656912,26fcd6b,22.01.13 16:02,22.01.13 16:04,teilgenommen und beendet,,6,ja,Zunahme,Preisdruck Mitbwerber,nein,,,Dienstleistung,70,,Winterthur
4656914,ad831f4,22.01.13 16:02,22.01.13 16:03,teilgenommen und beendet,,6,ja,Zunahme,Auftragsmanagement aufgrund gestiegener Nachfrage,nein,,,Sanitär,7,,Illnau-Effretikon
4656921,eef2a64,22.01.13 16:03,22.01.13 16:07,teilgenommen und beendet,,,ja,Zunahme,"Personalsituation, gutes qualifizierte Personal zu finden",ja,,,Sicherheitsunternehmen,35,,Dietikon / Winterthur
4656933,58ccf2e,22.01.13 16:03,22.01.13 16:05,teilgenommen und beendet,,,nein,Keine Veränderung,,nein,,,Architektur,2,,Winterthur
4657007,ae6e1da,22.01.13 16:08,22.01.13 16:10,teilgenommen und beendet,,4,nein,Keine Veränderung,,nein,,,Gastronomie,20,,Effretikon
4657015,20cc6b2,22.01.13 16:09,22.01.13 16:11,teilgenommen und beendet,,6,nein,Keine Veränderung,,nein,,,Elektro- und Telefon,6,,Winterthur
4657063,55bda3e,22.01.13 16:14,22.01.13 16:15,teilgenommen und beendet,,5,ja,Reduktion,Kosten,nein,,,,,,
4657070,ec62bbf,22.01.13 16:15,22.01.13 16:21,teilgenommen und beendet,,5,nein,Keine Veränderung,Kurzfristigkeit in der Planung der Gäste; Kürzung der Reisebudgets; Umbau der Hotelzimmer während laufendem Betrieb,ja,,,Hotellerie,48,,Winterthur
